Identifier,Approximate Zip Code,Reading Timestamp,Reading Day,Reading Time String,Concentration
Sensor 70523,94304,12/15/21 19:00:51,Wednesday,Evening,0.0
Sensor 70523,94304,12/16/21 01:00:55,Thursday,Night,0.0
Sensor 70523,94304,12/16/21 07:00:58,Thursday,Morning,0.14
Sensor 70523,94304,12/16/21 12:59:02,Thursday,Midday,1.3
Sensor 70523,94304,12/16/21 18:59:06,Thursday,Evening,2.9
Sensor 70523,94304,12/17/21 00:59:09,Friday,Night,6.18
Sensor 70523,94304,12/17/21 06:59:13,Friday,Morning,3.93
Sensor 70523,94304,12/17/21 12:59:15,Friday,Midday,1.46
Sensor 70523,94304,12/17/21 18:59:19,Friday,Evening,4.91
Sensor 70523,94304,12/18/21 00:59:22,Saturday,Night,0.55
Sensor 70523,94304,12/18/21 06:59:26,Saturday,Morning,3.6
Sensor 70523,94304,12/18/21 12:59:31,Saturday,Midday,20.93
Sensor 115721,94304,12/11/21 18:59:37,Saturday,Evening,0.16
Sensor 115721,94304,12/12/21 00:59:40,Sunday,Night,0.0
Sensor 115721,94304,12/12/21 06:59:44,Sunday,Morning,0.0
Sensor 115721,94304,12/12/21 12:59:48,Sunday,Midday,0.0
Sensor 115721,94304,12/12/21 18:59:51,Sunday,Evening,0.0
Sensor 115721,94304,12/13/21 00:59:55,Monday,Night,0.0
Sensor 115721,94304,12/13/21 06:59:59,Monday,Morning,0.0
Sensor 115721,94304,12/13/21 13:00:02,Monday,Midday,0.0
Sensor 115721,94304,12/13/21 19:00:07,Monday,Evening,0.0
Sensor 115721,94304,12/14/21 01:00:11,Tuesday,Night,0.0
Sensor 115721,94304,12/14/21 07:00:13,Tuesday,Morning,0.0
Sensor 115721,94304,12/14/21 13:00:17,Tuesday,Midday,0.0
Sensor 115721,94304,12/14/21 19:00:21,Tuesday,Evening,0.0
Sensor 115721,94304,12/15/21 01:00:25,Wednesday,Night,0.0
Sensor 115721,94304,12/15/21 07:00:28,Wednesday,Morning,0.0
Sensor 115721,94304,12/15/21 13:00:32,Wednesday,Midday,0.0
Sensor 115721,94304,12/15/21 19:00:36,Wednesday,Evening,0.0
Sensor 115721,94304,12/16/21 01:00:39,Thursday,Night,0.0
Sensor 115721,94304,12/16/21 07:00:43,Thursday,Morning,0.0
Sensor 115721,94304,12/16/21 13:00:47,Thursday,Midday,0.0
Sensor 115721,94304,12/16/21 19:00:51,Thursday,Evening,0.0
Sensor 115721,94304,12/17/21 01:00:55,Friday,Night,0.09
Sensor 115721,94304,12/17/21 07:00:59,Friday,Morning,0.0
Sensor 115721,94304,12/17/21 12:59:02,Friday,Midday,0.0
Sensor 115721,94304,12/17/21 18:59:14,Friday,Evening,0.07
Sensor 115721,94304,12/18/21 00:59:18,Saturday,Night,0.0
Sensor 115721,94304,12/18/21 06:59:21,Saturday,Morning,0.16
Sensor 115721,94304,12/18/21 12:59:25,Saturday,Midday,12.36
Sensor 65161,94040,12/11/21 18:59:28,Saturday,Evening,24.41
Sensor 65161,94040,12/12/21 00:59:32,Sunday,Night,4.0
Sensor 65161,94040,12/12/21 06:59:36,Sunday,Morning,2.53
Sensor 65161,94040,12/12/21 12:59:39,Sunday,Midday,1.22
Sensor 65161,94040,12/12/21 18:59:43,Sunday,Evening,8.28
Sensor 65161,94040,12/13/21 00:59:47,Monday,Night,1.24
Sensor 65161,94040,12/13/21 06:59:51,Monday,Morning,0.0
Sensor 65161,94040,12/13/21 12:59:55,Monday,Midday,0.35
Sensor 65161,94040,12/13/21 18:59:59,Monday,Evening,2.82
Sensor 65161,94040,12/14/21 01:00:02,Tuesday,Night,1.65
Sensor 65161,94040,12/14/21 07:00:06,Tuesday,Morning,0.82
Sensor 65161,94040,12/14/21 13:00:10,Tuesday,Midday,0.0
Sensor 65161,94040,12/14/21 19:00:14,Tuesday,Evening,1.56
Sensor 65161,94040,12/15/21 01:00:17,Wednesday,Night,3.0
Sensor 65161,94040,12/15/21 07:00:21,Wednesday,Morning,1.04
Sensor 65161,94040,12/15/21 13:00:25,Wednesday,Midday,0.46
Sensor 65161,94040,12/15/21 19:00:29,Wednesday,Evening,0.0
Sensor 65161,94040,12/16/21 01:00:33,Thursday,Night,0.0
Sensor 65161,94040,12/16/21 07:00:36,Thursday,Morning,6.64
Sensor 65161,94040,12/16/21 13:00:40,Thursday,Midday,0.61
Sensor 65161,94040,12/16/21 19:00:44,Thursday,Evening,8.81
Sensor 65161,94040,12/17/21 01:00:48,Friday,Night,5.78
Sensor 65161,94040,12/17/21 07:00:51,Friday,Morning,3.38
Sensor 65161,94040,12/17/21 13:00:55,Friday,Midday,0.93
Sensor 65161,94040,12/17/21 19:00:59,Friday,Evening,10.03
Sensor 65161,94040,12/18/21 00:59:03,Saturday,Night,2.53
Sensor 65161,94040,12/18/21 06:59:08,Saturday,Morning,2.52
Sensor 65161,94040,12/18/21 12:59:12,Saturday,Midday,25.95
Sensor 62245,94028,12/11/21 18:59:17,Saturday,Evening,0.98
Sensor 62245,94028,12/12/21 00:59:21,Sunday,Night,1.22
Sensor 62245,94028,12/12/21 06:59:24,Sunday,Morning,1.55
Sensor 62245,94028,12/14/21 06:59:55,Tuesday,Morning,0.08
Sensor 62245,94028,12/14/21 12:59:59,Tuesday,Midday,0.37
Sensor 62245,94028,12/14/21 19:00:04,Tuesday,Evening,0.53
Sensor 62245,94028,12/15/21 01:00:12,Wednesday,Night,0.24
